#TYPE Selected.System.ServiceProcess.ServiceController
"Name","Status"
"AarSvc_1056af","Running"
"AESMService","Running"
"Appinfo","Running"
"AppXSvc","Running"
"AudioEndpointBuilder","Running"
"Audiosrv","Running"
"BDESVC","Running"
"BFE","Running"
"BluetoothUserService_1056af","Running"
"BrokerInfrastructure","Running"
"BTAGService","Running"
"BthAvctpSvc","Running"
"bthserv","Running"
"camsvc","Running"
"cbdhsvc_1056af","Running"
"CDPSvc","Running"
"CDPUserSvc_1056af","Running"
"CertPropSvc","Running"
"ClickToRunSvc","Running"
"COMSysApp","Running"
"CoreMessagingRegistrar","Running"
"cphs","Running"
"cplspcon","Running"
"CryptSvc","Running"
"DcomLaunch","Running"
"DeviceAssociationService","Running"
"DeviceInstall","Running"
"Dhcp","Running"
"DiagTrack","Running"
"DispBrokerDesktopSvc","Running"
"DisplayEnhancementService","Running"
"dmwappushservice","Running"
"Dnscache","Running"
"DolbyDAXAPI","Running"
"DoSvc","Running"
"dot3svc","Running"
"DPS","Running"
"DsSvc","Running"
"DusmSvc","Running"
"Eaphost","Running"
"EFS","Running"
"esifsvc","Running"
"ETDService","Running"
"EventLog","Running"
"EventSystem","Running"
"FlexeraDockerMon","Running"
"FMAPOService","Running"
"FontCache","Running"
"FontCache3.0.0.0","Running"
"hidserv","Running"
"HvHost","Running"
"IBMPMSVC","Running"
"igccservice","Running"
"igfxCUIService2.0.0.0","Running"
"InstallService","Running"
"Intel(R) Capability Licensing Service TCP IP Interface","Running"
"IntelAudioService","Running"
"IntuneManagementExtension","Running"
"iphlpsvc","Running"
"jhi_service","Running"
"KeyIso","Running"
"LanmanServer","Running"
"LanmanWorkstation","Running"
"Lenovo Instant On","Running"
"lfsvc","Running"
"LicenseManager","Running"
"LITSSVC","Running"
"lmhosts","Running"
"LMS","Running"
"LSM","Running"
"mgssecsvc","Running"
"mpssvc","Running"
"MSDTC","Running"
"NcbService","Running"
"ndinit","Running"
"Netman","Running"
"netprofm","Running"
"NetSetupSvc","Running"
"Nexthink Coordinator","Running"
"Nexthink Service","Running"
"NlaSvc","Running"
"nsi","Running"
"OneSyncSvc_1056af","Running"
"PcaSvc","Running"
"PhoneSvc","Running"
"PimIndexMaintenanceSvc_1056af","Running"
"PlugPlay","Running"
"Power","Running"
"PrintWorkflowUserSvc_1056af","Running"
"ProfSvc","Running"
"PulseSecureService","Running"
"RasMan","Running"
"RmSvc","Running"
"RpcEptMapper","Running"
"RpcSs","Running"
"RtkAudioUniversalService","Running"
"SamSs","Running"
"SCardSvr","Running"
"Schedule","Running"
"SecureConnector","Running"
"SecurityHealthService","Running"
"SEMgrSvc","Running"
"SENS","Running"
"Sense","Running"
"SgrmBroker","Running"
"ShellHWDetection","Running"
"SmsRouter","Running"
"Spooler","Running"
"SSDPSRV","Running"
"SstpSvc","Running"
"StateRepository","Running"
"stisvc","Running"
"StorSvc","Running"
"SysMain","Running"
"SystemEventsBroker","Running"
"TabletInputService","Running"
"Themes","Running"
"TimeBrokerSvc","Running"
"TokenBroker","Running"
"TrkWks","Running"
"uhssvc","Running"
"UnistoreSvc_1056af","Running"
"UserDataSvc_1056af","Running"
"UserManager","Running"
"UsoSvc","Running"
"VaultSvc","Running"
"vds","Running"
"VirtualAudioFs","Running"
"vpnagent","Running"
"WbioSrvc","Running"
"Wcmsvc","Running"
"WdiServiceHost","Running"
"WdiSystemHost","Running"
"WdNisSvc","Running"
"WebClient","Running"
"WinDefend","Running"
"WinHttpAutoProxySvc","Running"
"Winmgmt","Running"
"WlanSvc","Running"
"WMIRegistrationService","Running"
"WpnService","Running"
"WpnUserService_1056af","Running"
"wscsvc","Running"
"WSearch","Running"
"wuauserv","Running"
"ZSAService","Running"
"ZSATrayManager","Running"
"ZSATunnel","Running"
